model,rank,lambda,epoch,corruption,topK,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
VAE-CF,200,0.0001,300,0.4,,"[0.0476, 0.0023]","[0.0454, 0.0019]","[0.0437, 0.0017]","[0.0509, 0.0032]","[0.0375, 0.0011]","[0.1403, 0.0038]","[0.0425, 0.0017]","[0.04, 0.0014]","[0.0379, 0.0012]","[0.0473, 0.0024]","[0.0303, 0.0007]","[0.0464, 0.0026]","[0.0894, 0.0045]","[0.124, 0.0052]","[0.1547, 0.0058]","[0.0514, 0.0035]","[0.2946, 0.0076]"
VAE-CF,200,0.0001,300,0.5,,"[0.0486, 0.0024]","[0.0465, 0.002]","[0.0447, 0.0017]","[0.0516, 0.0032]","[0.0382, 0.0011]","[0.1414, 0.0037]","[0.0438, 0.0017]","[0.0411, 0.0014]","[0.0385, 0.0012]","[0.0488, 0.0025]","[0.0306, 0.0007]","[0.0477, 0.0026]","[0.0903, 0.0045]","[0.1238, 0.0051]","[0.1537, 0.0056]","[0.0523, 0.0035]","[0.2968, 0.0076]"
VAE-CF,200,0.001,300,0.2,,"[0.0448, 0.0023]","[0.0429, 0.0019]","[0.0415, 0.0017]","[0.047, 0.003]","[0.0362, 0.0011]","[0.1358, 0.0036]","[0.0411, 0.0017]","[0.0384, 0.0013]","[0.0365, 0.0011]","[0.0448, 0.0024]","[0.0296, 0.0007]","[0.0428, 0.0024]","[0.0857, 0.0044]","[0.1186, 0.005]","[0.1492, 0.0056]","[0.0484, 0.0034]","[0.2916, 0.0076]"
VAE-CF,200,0.001,300,0.3,,"[0.0471, 0.0023]","[0.045, 0.0019]","[0.0434, 0.0017]","[0.0498, 0.0031]","[0.0373, 0.0011]","[0.1384, 0.0037]","[0.0429, 0.0017]","[0.0399, 0.0014]","[0.0377, 0.0012]","[0.0468, 0.0024]","[0.0301, 0.0007]","[0.0459, 0.0025]","[0.088, 0.0044]","[0.1213, 0.0051]","[0.1508, 0.0056]","[0.0499, 0.0034]","[0.2932, 0.0076]"
VAE-CF,200,0.001,300,0.4,,"[0.0492, 0.0024]","[0.0467, 0.002]","[0.0447, 0.0017]","[0.0527, 0.0032]","[0.0382, 0.0011]","[0.1404, 0.0037]","[0.0439, 0.0017]","[0.0406, 0.0014]","[0.0379, 0.0012]","[0.0487, 0.0025]","[0.0305, 0.0008]","[0.0481, 0.0026]","[0.0899, 0.0044]","[0.1221, 0.0051]","[0.1518, 0.0056]","[0.0507, 0.0034]","[0.2932, 0.0075]"
VAE-CF,200,0.001,300,0.5,,"[0.0505, 0.0024]","[0.0475, 0.002]","[0.0455, 0.0018]","[0.0546, 0.0033]","[0.0386, 0.0011]","[0.1421, 0.0038]","[0.0444, 0.0017]","[0.0405, 0.0014]","[0.0383, 0.0012]","[0.0501, 0.0025]","[0.0309, 0.0008]","[0.0488, 0.0026]","[0.09, 0.0044]","[0.12, 0.005]","[0.1486, 0.0055]","[0.0521, 0.0034]","[0.2946, 0.0075]"
VAE-CF,200,0.01,300,0.2,,"[0.0496, 0.0025]","[0.0467, 0.0021]","[0.0446, 0.0018]","[0.0538, 0.0033]","[0.0372, 0.0012]","[0.1285, 0.0036]","[0.0434, 0.0018]","[0.0394, 0.0014]","[0.0372, 0.0012]","[0.0488, 0.0025]","[0.0292, 0.0008]","[0.0462, 0.0024]","[0.0785, 0.0039]","[0.1058, 0.0045]","[0.1332, 0.0051]","[0.0445, 0.0029]","[0.2579, 0.0068]"
VAE-CF,200,0.01,300,0.3,,"[0.0499, 0.0025]","[0.0469, 0.0021]","[0.0446, 0.0018]","[0.0543, 0.0033]","[0.0371, 0.0012]","[0.1271, 0.0035]","[0.0436, 0.0018]","[0.0398, 0.0014]","[0.0369, 0.0012]","[0.0486, 0.0025]","[0.0289, 0.0008]","[0.0465, 0.0024]","[0.078, 0.0038]","[0.1053, 0.0044]","[0.132, 0.005]","[0.0439, 0.0028]","[0.2529, 0.0068]"
VAE-CF,200,0.01,300,0.4,,"[0.0488, 0.0024]","[0.0461, 0.002]","[0.0439, 0.0018]","[0.0528, 0.0033]","[0.0366, 0.0012]","[0.1249, 0.0035]","[0.0433, 0.0018]","[0.0392, 0.0014]","[0.0367, 0.0012]","[0.0484, 0.0025]","[0.0286, 0.0008]","[0.046, 0.0024]","[0.0771, 0.0038]","[0.1041, 0.0044]","[0.1303, 0.005]","[0.0439, 0.0028]","[0.2483, 0.0067]"
VAE-CF,200,0.01,300,0.5,,"[0.0483, 0.0024]","[0.0456, 0.002]","[0.0434, 0.0018]","[0.0521, 0.0033]","[0.0362, 0.0012]","[0.1231, 0.0035]","[0.0426, 0.0018]","[0.0385, 0.0014]","[0.0361, 0.0012]","[0.0477, 0.0025]","[0.0283, 0.0008]","[0.0451, 0.0024]","[0.0748, 0.0037]","[0.1019, 0.0044]","[0.1276, 0.0049]","[0.0428, 0.0028]","[0.2445, 0.0066]"
VAE-CF,200,0.1,300,0.2,,"[0.0155, 0.0014]","[0.0151, 0.0012]","[0.0148, 0.0011]","[0.0153, 0.0018]","[0.0138, 0.0007]","[0.0397, 0.0017]","[0.0154, 0.0011]","[0.0137, 0.0009]","[0.0137, 0.0008]","[0.0155, 0.0015]","[0.0125, 0.0006]","[0.0147, 0.0011]","[0.0184, 0.0014]","[0.0251, 0.0018]","[0.0331, 0.002]","[0.009, 0.001]","[0.0759, 0.0033]"
